"","fips","state","county","ibclc_rate","bf_pct","im_rate","la_leche_count","baby_friendly_count","wic_site_count","la_leche_in_county","baby_friendly_in_county","wic_site_in_county","rucc","svi"
"124","13251","GA","Screven",8.38,66.4,0,1,0,1,"Y","N","Y",6,85.25
"125","13253","GA","Seminole",5.68,44.6,0,0,1,1,"N","Y","Y",6,83.44
"126","13255","GA","Spalding",6.41,62.9,9.6,3,1,6,"Y","Y","Y",1,86.91
"127","13257","GA","Stephens",1.6,75.7,0,0,1,2,"N","Y","Y",7,79.68
"128","13259","GA","Stewart",13.7,62,0,1,1,0,"Y","Y","N",8,92.45
"129","13261","GA","Sumter",0,51.4,17.8,0,2,1,"N","Y","Y",6,97.64
"130","13263","GA","Talbot",17.7,74.8,0,0,1,0,"N","Y","N",8,85.89
"131","13265","GA","Taliaferro",0,74.1,0,0,0,0,"N","N","N",8,90.89
"132","13267","GA","Tattnall",4.13,70.2,0,0,0,1,"N","N","Y",6,90.8
"133","13269","GA","Taylor",0,60.5,0,0,0,0,"N","N","N",8,91.97
"134","13271","GA","Telfair",0,62.4,0,0,0,0,"N","N","N",7,83.69
"135","13273","GA","Terrell",14.15,37,0,0,1,3,"N","Y","Y",3,95.7
"136","13275","GA","Thomas",1.96,70.2,12.6,4,0,3,"Y","N","Y",4,91.08
"137","13277","GA","Tift",2.8,71.4,0,0,1,5,"N","Y","Y",5,88.09
"138","13279","GA","Toombs",2.73,64,0,0,0,1,"N","N","Y",7,97.61
"139","13281","GA","Towns",10.26,84.6,0,1,0,1,"Y","N","Y",9,32.58
"140","13283","GA","Treutlen",14.08,55.8,0,0,0,1,"N","N","Y",7,94.71
"141","13285","GA","Troup",1.64,65.5,18.7,0,2,2,"N","Y","Y",4,90.13
"142","13287","GA","Turner",8.1,56,0,0,2,2,"N","Y","Y",6,98.09
"143","13289","GA","Twiggs",19.35,59.4,0,0,0,3,"N","N","Y",3,75.8
"144","13291","GA","Union",8.72,83.9,0,1,0,2,"Y","N","Y",9,31.15
"145","13293","GA","Upson",1.63,71.3,16.6,0,0,1,"N","N","Y",6,85.32
"146","13295","GA","Walker",2.05,76.5,13.7,3,0,4,"Y","N","Y",2,64.08
"147","13297","GA","Walton",13.22,82.3,13.3,5,5,12,"Y","Y","Y",1,29.3
"148","13299","GA","Ware",1.01,64.9,0,0,1,0,"N","Y","N",5,84.49
"149","13301","GA","Warren",0,51.4,0,0,0,0,"N","N","N",8,89.46
"150","13303","GA","Washington",0,58.7,0,1,0,1,"Y","N","Y",7,94.62
"151","13305","GA","Wayne",0,70.3,0,0,0,0,"N","N","N",6,91.66
"152","13307","GA","Webster",0,50,0,0,0,0,"N","N","N",8,78.76
"153","13309","GA","Wheeler",15.75,68.6,0,0,0,1,"N","N","Y",9,81.24
"154","13311","GA","White",10.83,95.7,0,1,0,2,"Y","N","Y",6,23.57
"155","13313","GA","Whitfield",1.6,79.6,11.1,3,0,4,"Y","N","Y",3,87.93
"156","13315","GA","Wilcox",0,55.1,0,0,1,1,"N","Y","Y",8,81.69
"157","13317","GA","Wilkes",5.03,67,0,0,0,0,"N","N","N",6,75.61
"158","13319","GA","Wilkinson",10.87,66,0,0,0,5,"N","N","Y",8,78.73
"159","13321","GA","Worth",11.82,54.2,0,1,3,3,"Y","Y","Y",3,73.57
"160","37001","NC","Alamance",0.546149645,80.3,6.1,1,0,1,"Y","N","Y",3,78.38
"161","37003","NC","Alexander",0,77.1,8.5,0,0,1,"N","N","Y",2,63.41
"162","37005","NC","Alleghany",0,80.4,6.4,0,0,1,"N","N","Y",9,62.68
"163","37007","NC","Anson",0,58.7,9.5,0,0,1,"N","N","Y",6,94.43
"164","37009","NC","Ashe",0,79,3.8,0,0,1,"N","N","Y",7,49.94
"165","37011","NC","Avery",0,83.4,5.7,0,0,1,"N","N","Y",8,64.46
"166","37013","NC","Beaufort",0,68.7,10.3,0,0,1,"N","N","Y",6,71.56
"167","37015","NC","Bertie",0,52.9,12.6,0,0,1,"N","N","Y",7,93.85
"168","37017","NC","Bladen",0,66.1,8.7,0,0,1,"N","N","Y",6,94.46
"169","37019","NC","Brunswick",1,80,6.3,1,0,3,"Y","N","Y",2,35.83
"170","37021","NC","Buncombe",3.437902879,89.1,4.8,2,0,4,"Y","N","Y",2,37.99
"171","37023","NC","Burke",0,73.5,7.8,0,0,1,"N","N","Y",2,84.87
"172","37025","NC","Cabarrus",1.180637544,86.1,5.9,1,0,2,"Y","N","Y",1,41.75
"173","37027","NC","Caldwell",0,74,7.6,0,0,1,"N","N","Y",2,65.1
"174","37029","NC","Camden",0,84.3,0,0,0,1,"N","N","Y",8,30.7
"175","37031","NC","Carteret",2.105263158,80.5,5.8,0,0,1,"N","N","Y",4,42.55
"176","37033","NC","Caswell",0,78.4,9.8,0,0,2,"N","N","Y",8,83.6
"177","37035","NC","Catawba",0.6277463905,77.8,6.5,2,0,1,"Y","N","Y",2,64.81
"178","37037","NC","Chatham",1.550387597,92.5,9,0,0,2,"N","N","Y",2,38.09
"179","37039","NC","Cherokee",0,75,11.6,0,0,2,"N","N","Y",9,48.69
"180","37041","NC","Chowan",7.194244604,62.5,5.9,0,0,1,"N","N","Y",6,81.18
"181","37043","NC","Clay",0,83.6,11.3,0,0,3,"N","N","Y",9,21.91
"182","37045","NC","Cleveland",0.9267840593,65.8,8.9,0,0,1,"N","N","Y",4,83.5
"183","37047","NC","Columbus",1.748251748,60.1,9.3,0,0,1,"N","N","Y",6,94.81
"184","37049","NC","Craven",4.573170732,81.7,7.2,1,0,1,"Y","N","Y",3,80.99
"185","37051","NC","Cumberland",1.3671875,80.7,8.4,1,0,3,"Y","N","Y",2,86.4
"186","37053","NC","Currituck",0,83.9,3.1,0,0,1,"N","N","Y",1,11.94
"187","37055","NC","Dare",0,89.7,1.2,0,0,3,"N","N","Y",4,14.49
"188","37057","NC","Davidson",1.177163037,74,7.6,0,0,1,"N","N","Y",2,68.41
"189","37059","NC","Davie",0,84.5,5.6,0,0,1,"N","N","Y",2,44.11
"190","37061","NC","Duplin",0,72.6,9.1,0,0,2,"N","N","Y",6,97.9
"191","37063","NC","Durham",1.49551346,89.7,6.1,3,0,1,"Y","N","Y",2,61.97
"192","37065","NC","Edgecombe",0,50.6,11,0,0,2,"N","N","Y",3,97.26
"193","37067","NC","Forsyth",0.4662004662,87,8.9,2,0,4,"Y","N","Y",2,68.34
"194","37069","NC","Franklin",0,82.5,7.2,0,0,1,"N","N","Y",1,63.76
"195","37071","NC","Gaston",0.7852375344,72.8,6.4,0,0,1,"N","N","Y",1,67.2
"196","37073","NC","Gates",0,76.5,9.8,0,0,1,"N","N","Y",1,35.67
"197","37075","NC","Graham",0,76.9,2.4,0,0,2,"N","N","Y",9,63.38
"198","37077","NC","Granville",0,76.1,6.5,0,0,1,"N","N","Y",4,65.61
"199","37079","NC","Greene",4.784688995,71.1,9.6,0,0,1,"N","N","Y",8,99.24
"200","37081","NC","Guilford",1.012316518,86.1,8.7,1,0,3,"Y","N","Y",2,63.69
"201","37083","NC","Halifax",0,54.1,10.7,0,0,3,"N","N","Y",4,96.46
"202","37085","NC","Harnett",0,80.6,7.3,0,0,2,"N","N","Y",4,78.69
"203","37087","NC","Haywood",0,80.9,7.6,0,0,2,"N","N","Y",2,28.09
"204","37089","NC","Henderson",0.9960159363,88.6,5.8,0,0,1,"N","N","Y",2,32.1
"205","37091","NC","Hertford",4.807692308,57.3,11.6,0,0,1,"N","N","Y",6,98.73
"206","37093","NC","Hoke",0,79.5,8.7,0,0,1,"N","N","Y",2,89.24
"207","37095","NC","Hyde",0,81.9,5.2,0,0,1,"N","N","Y",9,86.27
"208","37097","NC","Iredell",1.58061117,79.3,8.4,0,0,2,"N","N","Y",1,37.45
"209","37099","NC","Jackson",3.174603175,77.5,7.9,0,0,1,"N","N","Y",6,62.36
"210","37101","NC","Johnston",0.8041817451,66.3,6.6,0,0,2,"N","N","Y",1,53.95
"211","37103","NC","Jones",0,76,2.2,0,0,1,"N","N","Y",3,87.61
"212","37105","NC","Lee",1.265822785,83.3,7.5,0,0,1,"N","N","Y",4,84.81
"213","37107","NC","Lenoir",0,60.9,7.3,0,0,1,"N","N","Y",4,99.33
"214","37109","NC","Lincoln",2.290950745,80.6,6.5,0,0,1,"N","N","Y",1,35.64
"215","37111","NC","McDowell",5.277044855,79.2,7.1,0,0,1,"N","N","Y",6,78.95
"216","37113","NC","Macon",0,86,7.2,0,0,1,"N","N","Y",7,35.48
"217","37115","NC","Madison",0,83,4,0,0,1,"N","N","Y",2,45.86
"218","37117","NC","Martin",0,55.7,10.7,0,0,1,"N","N","Y",6,75.41
"219","37119","NC","Mecklenburg",1.023541453,89.2,5.9,6,0,4,"Y","N","Y",1,44.08
"220","37121","NC","Mitchell",0,83,2.8,0,0,1,"N","N","Y",7,42.23
"221","37123","NC","Montgomery",0,70.7,8.3,0,0,1,"N","N","Y",6,87.13
"222","37125","NC","Moore",0.8285004143,86.5,5.9,1,0,1,"Y","N","Y",4,36.21
"223","37127","NC","Nash",0,67.8,8.1,0,0,2,"N","N","Y",3,82.87
"224","37129","NC","New Hanover",0.956480153,88.4,5.5,4,0,1,"Y","N","Y",2,37.71
"225","37131","NC","Northampton",0,52.9,6.6,0,0,1,"N","N","Y",9,90.22
"226","37133","NC","Onslow",0.8040739748,86.4,5.5,1,0,2,"Y","N","Y",3,74.65
